annotations,classical,mesenchymal,neural,proneural
Core,13.9015,9.0074,4.9197,4.8907
Rim,12.9733,12.4482,5.8854,3.8986
Inv,15.5421,6.2052,4.7748,6.3588
Neg,9.8241,16.1517,8.9527,4.7995
Pos,7.577,10.2343,7.1967,6.8704
