annotations,classical,mesenchymal,neural,proneural
Core,10.8379,5.9233,9.039,10.3637
Rim,10.7913,8.3812,9.3939,10.5953
Inv,11.054,4.2692,11.6769,9.1387
Neg,8.1684,11.1672,6.692,6.9967
Pos,9.3419,13.2789,8.2953,7.5718
