annotations,classical,mesenchymal,neural,proneural
Core,9.4054,5.0805,6.5803,12.559
Rim,10.746,7.2485,9.7594,10.5464
Inv,10.0299,0.3387,12.4451,10.1126
Neg,6.5445,15.3122,7.1978,4.8476
Pos,6.1318,12.6987,7.7167,4.4077
