annotations,classical,mesenchymal,neural,proneural
Core,11.4344,10.8784,7.5711,10.0058
Rim,10.8787,12.2002,6.1438,8.6916
Inv,10.7811,11.2054,8.7264,8.5338
Neg,6.4336,15.4876,5.9591,4.8557
Pos,7.7666,16.3397,6.759,6.5477
