annotations,classical,mesenchymal,neural,proneural
Core,14.0225,8.9104,3.6002,6.7068
Rim,13.7326,12.5326,6.1721,6.4065
Inv,14.5387,5.7853,6.3739,9.5593
Neg,10.5849,14.2251,5.8469,6.2501
Pos,5.7339,11.1306,3.5898,6.0267
