annotations,classical,mesenchymal,neural,proneural
Core,8.1146,3.9351,6.3595,12.469
Rim,9.5256,4.591,6.6633,12.4474
Inv,10.273,2.7211,8.633,11.2262
Neg,7.9203,6.9698,7.3642,12.0779
Pos,3.9464,13.8698,4.3323,1.2832
