annotations,classical,mesenchymal,neural,proneural
Core,11.9607,11.7726,11.4024,8.9481
Rim,11.183,13.6004,8.442,7.443
Inv,11.2102,7.8946,11.9529,9.4325
Neg,7.4974,9.2139,4.3263,7.4911
Pos,9.1928,16.71,7.5707,5.3175
