annotations,classical,mesenchymal,neural,proneural
Core,9.6868,19.0442,3.5097,-1.9207
Rim,11.5212,18.1738,4.5323,1.584
Inv,10.7745,10.6068,10.1779,7.4498
Neg,9.4822,17.5318,7.4806,4.7145
Pos,6.9017,13.2869,4.3511,6.3202
