annotations,classical,mesenchymal,neural,proneural
Core,12.4356,11.4356,5.187,10.2206
Rim,12.1149,6.29,11.5476,10.5358
Inv,12.1181,9.0779,10.0832,8.4625
Neg,9.0235,11.8099,7.559,8.9072
Pos,7.4913,17.0503,6.967,4.3521
